,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
2095,A-1/2-2 (4P),,HAMMAM,Houston 006,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
222,A-1/2-2 (4P),,CLIMATISATION DETENTE DIRECTE,Houston 004,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
1946,A-1/2-2 (4P),,WC TOTO,Houston 005,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
729,A-10-1 (5P),,CLIMATISATION DETENTE DIRECTE,Houston 014,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",10,,,Opérationnel,Validé
2015,A-10-1 (5P),,WC TOTO,Houston 013,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",11,,,Opérationnel,Validé
1981,A-11-2 (3P),,WC TOTO,Houston 018,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",11,,,Opérationnel,Validé
383,A-11-2 (3P),,CLIMATISATION DETENTE DIRECTE,Houston 017,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",11,,,Opérationnel,Validé
2002,A-13-1 (6P),,WC TOTO,Houston 021,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",13,,,Opérationnel,Validé
366,A-13-1 (6P),,CLIMATISATION DETENTE DIRECTE,Houston 020,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",13,,,Opérationnel,Validé
2092,A-16 (7P),,HAMMAM,Houston 026,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",13,,,Opérationnel,Validé
1989,A-16 (7P),,WC TOTO,Houston 024,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",13,,,Opérationnel,Validé
1493,A-16 (7P),,JACUZZI,Houston 025,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",13,,,Opérationnel,Validé
167,A-16 (7P),,CLIMATISATION DETENTE DIRECTE,Houston 023,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",16,,,Opérationnel,Validé
428,A-9-2 (3P),,CLIMATISATION DETENTE DIRECTE,Europa 007,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",9,,,Opérationnel,Validé
546,A-9-2 (3P),,CLIMATISATION DETENTE DIRECTE,Houston 015,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",9,,,Opérationnel,Validé
10,ADOUCISSEUR,,ADOUCISSEUR,PARAD ADELF 060,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
11,ADOUCISSEUR,,ADOUCISSEUR,PARAD ADELF 121,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",LT EF,,,Opérationnel,Validé
922,ASTREINTE,,ASTREINTE,ENSSITE 0002,,,,HDCER,Bâtiment Logisphère,"1 Chemin de la Liberté, 72527 Bordeaux",,,,Opérationnel,Validé
918,ASTREINTE,,ASTREINTE,Mona 429,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",,,,Opérationnel,Validé
923,Astreinte,,ASTREINTE,Europa 070,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",,,,Opérationnel,Validé
919,Astreinte,,ASTREINTE,Columbia 130,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",,,,Opérationnel,Validé
921,Astreinte,,ASTREINTE,Houston 055,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",,,,Opérationnel,Validé
920,Astreinte,,ASTREINTE,Rmc 024,,,,CIP MPG,Bâtiment Atrium,"61 Avenue des Lilas, 92669 Nice",,,,Opérationnel,Validé
1933,B -16-2 (3P),,WC TOTO,Europa 036,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",16,,,Opérationnel,Validé
188,B -16-2 (3P),,CLIMATISATION DETENTE DIRECTE,Europa 035,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",16,,,Opérationnel,Validé
140,B -17-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 037,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",17,,,Opérationnel,Validé
1947,B -17-1 (4P),,WC TOTO,Europa 038,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",17,,,Opérationnel,Validé
548,B-6-1 (4P),,CLIMATISATION DETENTE DIRECTE,Houston 031,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",6,,,Opérationnel,Validé
442,B-6-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 021,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
2025,B-6-2 (3P),,WC TOTO,Europa 023,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
543,B-6-2 (3P),,CLIMATISATION DETENTE DIRECTE,Europa 022,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
1969,B-7-1 (4P),,WC TOTO,Europa 025,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",7,,,Opérationnel,Validé
270,B-7-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 024,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",7,,,Opérationnel,Validé
397,B-7-1 (4P),,CLIMATISATION DETENTE DIRECTE,Houston 032,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",7,,,Opérationnel,Validé
53,B-8-1 (4P),,CLIMATISATION DETENTE DIRECTE,Houston 033,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",8,,,Opérationnel,Validé
244,B-8-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 027,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",8,,,Opérationnel,Validé
1970,B-8-1 (4P),,WC TOTO,Europa 028,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",8,,,Opérationnel,Validé
1987,BUREAUX C N+1 (7P),,WC TOTO,Europa 046,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",1,,,Opérationnel,Validé
415,BUREAUX C N+1 (7P),,CLIMATISATION DETENTE DIRECTE,Europa 045,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",1,,,Opérationnel,Validé
1985,C-06-1 (7P),,WC TOTO,Europa 050,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
637,C-06-1 (7P),,CLIMATISATION DETENTE DIRECTE,Europa 049,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
445,C-06-2 (3P),,CLIMATISATION DETENTE DIRECTE,Europa 051,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
1944,C-06-2 (3P),,WC TOTO,Europa 052,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",6,,,Opérationnel,Validé
101,C-11-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 054,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",11,,,Opérationnel,Validé
1924,C-11-1 (4P),,WC TOTO,Europa 055,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",11,,,Opérationnel,Validé
379,C-13-1 (4P),,CLIMATISATION DETENTE DIRECTE,Europa 056,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",13,,,Opérationnel,Validé
1967,C-13-1 (4P),,WC TOTO,Europa 057,,,,CIP MPG,Bâtiment Technoparc,"152 Boulevard de la Paix, 47534 Marseille",13,,,Opérationnel,Validé
437,C-15-1 (6P+),,CLIMATISATION DETENTE DIRECTE,Houston 049,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",15,,,Opérationnel,Validé
1923,C-15-1 (6P+),,WC TOTO,Houston 050,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",15,,,Opérationnel,Validé
507,C-16 (6P),,CLIMATISATION DETENTE DIRECTE,Houston 051,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",16,,,Opérationnel,Validé
1492,C-16 (6P),,JACUZZI,Houston 054,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",16,,,Opérationnel,Validé
