Nom;Famille;Type;ID équipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Cage d'escalier;Opérationnel/HS;Validation
CALANDRE;;CALANDRE BUANDERIE;2F 120;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
DIVERS HEDERA;;DIVERS HEDERA;HEDERA_20;;;;HDCER;Bâtiment Les Horizons;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
PLIEUSE;;PLIEUSE BUANDERIE;2F 123;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;Buanderie;;Opérationnel;Validé
SECHOIR 2 HEBDOMADAIRE;;PLIEUSE BUANDERIE;2F 099;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Buanderie;;Opérationnel;Validé
SAUNA HOMMES SQUASH NIV 1.00;;SAUNA;SLII 274;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;;;Opérationnel;Validé
SAUNA FEMMES SQUASH NIV 1.00;;SAUNA;SLII 271;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;;;Opérationnel;Validé
SAUNA FEMMES PISCINE NIV 4.80;;SAUNA;SLII 270;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA HOMMES PISCINE NIV 4.80;;SAUNA;SLII 273;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA HOMMES MUSCULATION NIV 4.80;;SAUNA;SLII 272;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
SAUNA FEMMES MUSCULATION NIV 4.80;;SAUNA;SLII 269;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
ADOUCISSEUR;;ADOUCISSEUR;PARAD ADELF 060;;;;CIP MPG;Bâtiment Le Belvédère;164 Impasse de la Paix, 13386 Marseille;PCBC;LT RDJ ;;Opérationnel;Validé
